"","month","sum_attr_number","sum_Rt","attr_fraction","attr_fraction_low","attr_fraction_high","variable"
"1",3,2915.13537002431,77658.47,3.7537893420052,3.65702765007088,3.81255684459809,"Air temperature"
"2",4,4319.32359117314,112136.3,3.8518513551572,3.75812609488178,3.90840987506757,"Air temperature"
"3",5,4443.22853719297,106457.04,4.17372917487934,4.09736422631869,4.22120000128514,"Air temperature"
"4",6,4224.74465097891,107218.68,3.94030653145414,3.89065305860968,3.97386093291619,"Air temperature"
"5",7,2993.89609040385,109802.87,2.72661005163512,2.69475269351184,2.75176712855093,"Air temperature"
"6",8,3303.87580111647,103903.67,3.17974889733584,3.14256706514745,3.209246462939,"Air temperature"
"7",9,4294.586929502,113023.75,3.79972079275551,3.75318732223174,3.83255278333718,"Air temperature"
"8",10,5763.22526232806,134394.66,4.28828441719936,4.21783379759279,4.33134871761207,"Air temperature"
"9",11,5699.03418955029,143000.33,3.98532939717712,3.89760683543027,4.03947404866934,"Air temperature"
"10",12,4783.09646535915,151891.87,3.14901414101963,3.02177617246629,3.21476232520027,"Air temperature"
"11",3,8462.00292378001,77658.47,10.8964327056405,10.8092510867691,10.9507945404633,"Specific humidity"
"12",4,12407.2019212741,112136.3,11.064393886078,10.970970543355,11.111755129053,"Specific humidity"
"13",5,10774.346890383,106457.04,10.1208401909193,10.0348494906614,10.1686464813485,"Specific humidity"
"14",6,8753.50607655542,107218.68,8.16416139105184,8.10408178950126,8.20484966600285,"Specific humidity"
"15",7,6279.77926995044,109802.87,5.7191394632494,5.67423867951959,5.75221229997716,"Specific humidity"
"16",8,7157.57508024272,103903.67,6.8886643563627,6.83733819202434,6.92636207572114,"Specific humidity"
"17",9,8754.47432755931,113023.75,7.74569444701606,7.68611208727982,7.78702710156828,"Specific humidity"
"18",10,13646.0927995816,134394.66,10.1537462869296,10.0723969508776,10.1979300552139,"Specific humidity"
"19",11,15679.8981872066,143000.33,10.9649384635732,10.8729516713481,11.0154757873555,"Specific humidity"
"20",12,18911.961068724,151891.87,12.4509370177113,12.3388925043013,12.5049568728009,"Specific humidity"
"21",3,3992.16186777396,77658.47,5.14066510423649,5.07242781462253,5.18781687347801,"Ultraviolet radiation"
"22",4,5194.50674326426,112136.3,4.63231508732165,4.57289024516625,4.67484456723257,"Ultraviolet radiation"
"23",5,3951.46292989332,106457.04,3.71179109422291,3.66187874373531,3.74827654633722,"Ultraviolet radiation"
"24",6,2833.12172848247,107218.68,2.6423769892359,2.60712199428426,2.66807425927999,"Ultraviolet radiation"
"25",7,3188.0403391373,109802.87,2.90342168573307,2.86541187733143,2.93147070510376,"Ultraviolet radiation"
"26",8,4182.77637244094,103903.67,4.02562909706745,3.9713938666864,4.06485856908607,"Ultraviolet radiation"
"27",9,5566.96827902635,113023.75,4.92548537721173,4.86328412089604,4.9703433433884,"Ultraviolet radiation"
"28",10,6882.76964728753,134394.66,5.12131184921151,5.05329820833086,5.16683015807141,"Ultraviolet radiation"
"29",11,7264.95516883018,143000.33,5.08037650600539,5.00431339373433,5.12637151459354,"Ultraviolet radiation"
"30",12,7897.23249390356,151891.87,5.1992463414293,5.11755603557053,5.24769576783703,"Ultraviolet radiation"
